,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
109,Chicago,41.8755616,-87.6244212,Cloud Gate by Anish Kapoor,41.882668094222694,-87.62331873178482,Outdoor Sculpture
110,Chicago,41.8755616,-87.6244212,Maggie Daley Park,41.882240235555706,-87.6188186976348,Park
111,Chicago,41.8755616,-87.6244212,Cindy's,41.88169538551873,-87.62460021795313,Gastropub
112,Chicago,41.8755616,-87.6244212,Hamilton The Musical,41.881049341650346,-87.62881058588185,Theater
113,Chicago,41.8755616,-87.6244212,Lakefront Trail,41.88095290076189,-87.61711172991944,Trail
114,Chicago,41.8755616,-87.6244212,Chicago Cultural Center,41.883640263310966,-87.62467077533687,Museum
115,Chicago,41.8755616,-87.6244212,Eleven City Diner,41.86845,-87.626118,Diner
116,Chicago,41.8755616,-87.6244212,The Chicago Theatre,41.8855389313031,-87.6271507302385,Theater
117,Chicago,41.8755616,-87.6244212,Intelligentsia Coffee,41.88451693392431,-87.62578251254217,Coffee Shop
118,Chicago,41.8755616,-87.6244212,James M. Nederlander Theatre,41.88441581705103,-87.6288608028818,Theater
119,Chicago,41.8755616,-87.6244212,The Field Museum,41.86632227693518,-87.61702679762847,History Museum
120,Chicago,41.8755616,-87.6244212,Wildberry Pancakes & Cafe,41.884412453490874,-87.62304697069013,Breakfast Spot
121,Chicago,41.8755616,-87.6244212,Do-Rite Donuts & Coffee,41.884598,-87.629904,Donut Shop
122,Chicago,41.8755616,-87.6244212,Chicago Riverwalk,41.88728,-87.627217,Waterfront
123,Chicago,41.8755616,-87.6244212,Cadillac Palace Theatre,41.88400646666445,-87.63314419432791,Theater
124,Chicago,41.8755616,-87.6244212,Gene Siskel Film Center,41.88500714054633,-87.62791573046748,Indie Movie Theater
125,Chicago,41.8755616,-87.6244212,Museum Campus,41.86663663899534,-87.61433601379395,Other Great Outdoors
126,Chicago,41.8755616,-87.6244212,Lakeshore East Park,41.88608077508668,-87.61776924133301,Park
127,Chicago,41.8755616,-87.6244212,House of Blues,41.88798373970122,-87.62869757560051,Music Venue
128,Chicago,41.8755616,-87.6244212,"The Langham, Chicago",41.88840492233103,-87.62748413128281,Hotel
129,Chicago,41.8755616,-87.6244212,Apple Michigan Avenue,41.88926849644056,-87.62363247128044,Electronics Store
130,Chicago,41.8755616,-87.6244212,Ghirardelli Ice Cream And Chocolate Shop - Wrigley,41.889229815922526,-87.62448692774466,Chocolate Shop
131,Chicago,41.8755616,-87.6244212,Wendella Boat Tours,41.889077491840744,-87.6249117838945,Boat or Ferry
132,Chicago,41.8755616,-87.6244212,Shaw's Crab House,41.88995884817228,-87.62706513392384,Seafood Restaurant
133,Chicago,41.8755616,-87.6244212,Chicago Lakefront,41.86656214411742,-87.6087806891488,Waterfront
134,Chicago,41.8755616,-87.6244212,Garrett Popcorn Shops - Citigroup Center,41.88222740963215,-87.64050481663978,Snack Place
135,Chicago,41.8755616,-87.6244212,The Purple Pig,41.89082630012852,-87.62460426077466,Mediterranean Restaurant
136,Chicago,41.8755616,-87.6244212,Firecakes Donuts,41.89000196526419,-87.63060477613422,Donut Shop
137,Chicago,41.8755616,-87.6244212,Manny's Cafeteria & Delicatessen,41.86793066712168,-87.64199136595965,Sandwich Place
138,Chicago,41.8755616,-87.6244212,"Joe's Seafood, Prime Steak & Stone Crab",41.891827934799345,-87.62544444279393,Seafood Restaurant
139,Chicago,41.8755616,-87.6244212,Gilt Bar,41.88923642011089,-87.63537698257136,Bar
140,Chicago,41.8755616,-87.6244212,RPM Italian,41.89081532118322,-87.62975543356106,Italian Restaurant
141,Chicago,41.8755616,-87.6244212,Binny's Beverage Depot,41.86797036959187,-87.64272424158158,Liquor Store
142,Chicago,41.8755616,-87.6244212,Bavette's Bar and Boeuf,41.889108723869995,-87.63493174422108,Steakhouse
143,Chicago,41.8755616,-87.6244212,Frontera Grill,41.890550246513314,-87.63110093742783,Mexican Restaurant
144,Chicago,41.8755616,-87.6244212,Avec,41.88450370096197,-87.64346655892965,New American Restaurant
145,Chicago,41.8755616,-87.6244212,Hannah's Bretzel,41.88958948243919,-87.63263258732344,Sandwich Place
146,Chicago,41.8755616,-87.6244212,Xoco,41.89080905267858,-87.63092510796142,Mexican Restaurant
147,Chicago,41.8755616,-87.6244212,Sunda,41.89084019877154,-87.63160263384698,Sushi Restaurant
148,Chicago,41.8755616,-87.6244212,SEPHORA,41.892548025233616,-87.62364828602162,Cosmetics Shop
149,Chicago,41.8755616,-87.6244212,Eataly,41.892389539353566,-87.6264576067756,Gourmet Shop
150,Chicago,41.8755616,-87.6244212,Whole Foods Market,41.891589196986516,-87.62043818669392,Grocery Store
151,Chicago,41.8755616,-87.6244212,Molly's Cupcakes,41.890939,-87.616143,Cupcake Shop
152,Chicago,41.8755616,-87.6244212,Beatrix,41.89148026650749,-87.63087360767099,New American Restaurant
153,Chicago,41.8755616,-87.6244212,Chicago Architecture Foundation River Cruise,41.890877,-87.609289,Boat or Ferry
154,Chicago,41.8755616,-87.6244212,Studio Three,41.893998830049185,-87.63137312567413,Gym / Fitness Center
155,Chicago,41.8755616,-87.6244212,Broken Shaker,41.892488280630324,-87.62733634845753,Cocktail Bar
156,Chicago,41.8755616,-87.6244212,Gyu-Kaku Japanese BBQ,41.892594112468934,-87.62226150810639,Japanese Restaurant
157,Chicago,41.8755616,-87.6244212,3 Greens Market,41.88993666774925,-87.6378863660802,Café
158,Chicago,41.8755616,-87.6244212,GT Fish and Oyster,41.891671,-87.633936,Seafood Restaurant
159,Chicago,41.8755616,-87.6244212,East Bank Club,41.88969426959435,-87.63892237191234,Gym
160,Chicago,41.8755616,-87.6244212,Soho House,41.883792846053346,-87.64836176783503,Hotel
161,Chicago,41.8755616,-87.6244212,Portillo's,41.8934295,-87.6314147,Hot Dog Joint
162,Chicago,41.8755616,-87.6244212,Ping Tom Memorial Park,41.857115865186756,-87.63448843530801,Park
163,Chicago,41.8755616,-87.6244212,Green Street Smoked Meats,41.88374674300202,-87.64881932838182,BBQ Joint
164,Chicago,41.8755616,-87.6244212,Sawada Coffee,41.88372962882918,-87.6487263464664,Coffee Shop
